timestamp,sport,game_title,outcome,price,market_id
2026-05-03 19:18:04+00:00,MLB,Arizona Diamondbacks vs. Chicago Cubs,Arizona Diamondbacks,0.355,2096057
2026-05-03 19:18:04+00:00,MLB,Arizona Diamondbacks vs. Chicago Cubs,Chicago Cubs,0.645,2096057
2026-05-03 19:19:06+00:00,MLB,Atlanta Braves vs. Colorado Rockies,Atlanta Braves,0.525,2096059
2026-05-03 19:19:06+00:00,MLB,Atlanta Braves vs. Colorado Rockies,Colorado Rockies,0.475,2096059
2026-05-03 19:18:04+00:00,MLB,Baltimore Orioles vs. New York Yankees,Baltimore Orioles,0.355,2096039
2026-05-03 19:18:04+00:00,MLB,Baltimore Orioles vs. New York Yankees,New York Yankees,0.645,2096039
2026-05-03 19:19:06+00:00,MLB,Baltimore Orioles vs. New York Yankees,Baltimore Orioles,0.34,2105235
2026-05-03 19:19:06+00:00,MLB,Baltimore Orioles vs. New York Yankees,New York Yankees,0.66,2105235
2026-05-03 19:19:06+00:00,MLB,Boston Red Sox vs. Detroit Tigers,Boston Red Sox,0.37,2105228
2026-05-03 19:19:06+00:00,MLB,Boston Red Sox vs. Detroit Tigers,Detroit Tigers,0.63,2105228
2026-05-03 19:19:06+00:00,MLB,Chicago White Sox vs. San Diego Padres,Chicago White Sox,0.395,2096066
2026-05-03 19:19:06+00:00,MLB,Chicago White Sox vs. San Diego Padres,San Diego Padres,0.605,2096066
2026-05-03 19:19:06+00:00,MLB,Cincinnati Reds vs. Chicago Cubs,Chicago Cubs,0.64,2105237
2026-05-03 19:19:06+00:00,MLB,Cincinnati Reds vs. Chicago Cubs,Cincinnati Reds,0.36,2105237
2026-05-03 19:18:04+00:00,MLB,Cincinnati Reds vs. Pittsburgh Pirates,Cincinnati Reds,0.5,2096043
2026-05-03 19:18:04+00:00,MLB,Cincinnati Reds vs. Pittsburgh Pirates,Pittsburgh Pirates,0.5,2096043
2026-05-03 19:19:06+00:00,MLB,Cleveland Guardians vs. Athletics,Athletics,0.445,2096061
2026-05-03 19:19:06+00:00,MLB,Cleveland Guardians vs. Athletics,Cleveland Guardians,0.555,2096061
2026-05-03 19:18:04+00:00,MLB,Houston Astros vs. Boston Red Sox,Boston Red Sox,0.755,2096037
2026-05-03 19:18:04+00:00,MLB,Houston Astros vs. Boston Red Sox,Houston Astros,0.245,2096037
2026-05-03 19:19:06+00:00,MLB,Kansas City Royals vs. Seattle Mariners,Kansas City Royals,0.495,2096068
2026-05-03 19:19:06+00:00,MLB,Kansas City Royals vs. Seattle Mariners,Seattle Mariners,0.505,2096068
2026-05-03 19:19:06+00:00,MLB,Los Angeles Dodgers vs. St. Louis Cardinals,Los Angeles Dodgers,0.765,2096054
2026-05-03 19:19:06+00:00,MLB,Los Angeles Dodgers vs. St. Louis Cardinals,St. Louis Cardinals,0.235,2096054
2026-05-03 19:18:04+00:00,MLB,Milwaukee Brewers vs. Washington Nationals,Milwaukee Brewers,0.175,2096047
2026-05-03 19:18:04+00:00,MLB,Milwaukee Brewers vs. Washington Nationals,Washington Nationals,0.825,2096047
2026-05-03 19:19:06+00:00,MLB,New York Mets vs. Los Angeles Angels,Los Angeles Angels,0.455,2096064
